question,answer
チェックインの時間は何時ですか？,チェックインは15:00〜19:00です。事前にご連絡いただければ、遅いチェックインにも対応可能です。修正済913f36
駐車場はありますか？,はい、無料の駐車場を提供しています。大型車の場合は事前にご連絡ください。修正１
Wi-Fiは利用できますか？,全客室でWi-Fiを無料でご利用いただけます。接続情報はチェックイン時にお渡しします。
食事のアレルギー対応はできますか？,はい、アレルギーがある場合は予約時にお知らせください。可能な限り対応いたします。修正済
部屋のタイプはどのようなものがありますか？,和室と洋室の両方をご用意しています。和室は8畳・10畳・12畳、洋室はシングル・ツイン・ダブルがございます。
温泉の効能は何ですか？,当館の温泉は神経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節のこわばり、うちみ、くじき、慢性消化器病、痔疾、冷え性、病後回復期、疲労回復、健康増進に効果があります。
食事はどのような内容ですか？,地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済
チェックアウトの時間は何時ですか？,チェックアウトは10:00となっております。レイトチェックアウトをご希望の場合は、フロントにご相談ください。
子供連れでも大丈夫ですか？,はい、お子様連れのお客様も大歓迎です。お子様用の浴衣やスリッパ、食事用の椅子もご用意しております。
周辺の観光スポットはありますか？,当館から車で15分以内に、〇〇神社、△△美術館、□□公園などがございます。詳しい情報はフロントでご案内しております。
What time is check-in?,"Check-in is from 3:00 PM to 7:00 PM. If you contact us in advance, we can accommodate late check-ins."
Is there parking available?,"Yes, we offer free parking. If you have a large vehicle, please contact us in advance."
Is Wi-Fi available?,Free Wi-Fi is available in all guest rooms. Connection information will be provided at check-in.
Can you accommodate food allergies?,"Yes, please inform us of any allergies at the time of booking. We will accommodate as much as possible."
What types of rooms do you have?,"We offer both Japanese-style and Western-style rooms. Japanese rooms are available in 8, 10, and 12 tatami mat sizes. Western-style rooms include single, twin, and double options."
What are the benefits of the hot spring?,"Our hot spring is effective for neuralgia, muscle pain, joint pain, frozen shoulder, motor paralysis, joint stiffness, bruises, sprains, chronic digestive disorders, hemorrhoids, sensitivity to cold, recovery after illness, fatigue recovery, and overall health promotion."
What kind of meals do you serve?,"We serve kaiseki cuisine using fresh local ingredients. For breakfast, you can choose between Japanese and Western styles."
What time is check-out?,"Check-out is at 10:00 AM. If you wish to check out late, please consult the front desk."
Is it okay to stay with children?,"Yes, children are very welcome. We provide yukata (light robes), slippers, and dining chairs for children."
Are there any tourist attractions nearby?,"Within a 15-minute drive from our inn, you can visit places like 〇〇 Shrine, △△ Art Museum, and □□ Park. For more information, please ask at the front desk."
체크인은 몇 시부터인가요?,체크인은 오후 3시부터 7시까지입니다. 미리 연락 주시면 늦은 체크인도 가능합니다.
주차장이 있나요?,"네, 무료 주차장을 제공하고 있습니다. 대형 차량의 경우 미리 연락해 주세요."
Wi-Fi를 이용할 수 있나요?,모든 객실에서 무료 Wi-Fi를 이용하실 수 있습니다. 접속 정보는 체크인 시에 안내해 드립니다.
식사 알레르기 대응이 가능한가요?,"네, 알레르기가 있는 경우 예약 시 미리 알려주시면 가능한 범위 내에서 대응해 드립니다."
객실 유형에는 어떤 것이 있나요?,"일본식 객실과 서양식 객실이 모두 있습니다. 일본식은 8조, 10조, 12조, 서양식은 싱글, 트윈, 더블 타입이 있습니다."
온천의 효능은 무엇인가요?,"저희 온천은 신경통, 근육통, 관절통, 오십견, 운동 마비, 관절 경직, 타박상, 염좌, 만성 소화기 질환, 치질, 냉증, 병후 회복기, 피로 회복, 건강 증진에 효과가 있습니다."
식사는 어떤 내용인가요?,현지의 신선한 식재료를 사용한 가이세키 요리를 제공합니다. 아침 식사는 일본식 또는 서양식 중에서 선택하실 수 있습니다.
체크아웃은 몇 시인가요?,체크아웃은 오전 10시입니다. 레이트 체크아웃을 원하시는 경우 프런트에 문의해 주세요.
아이들과 함께 숙박할 수 있나요?,"네, 어린이를 동반한 고객님도 환영합니다. 어린이용 유카타, 슬리퍼, 식사용 의자도 준비되어 있습니다."
주변 관광지는 어떤 곳이 있나요?,"숙소에서 차로 15분 이내 거리에 ○○신사, △△미술관, □□공원 등이 있습니다. 자세한 정보는 프런트에서 안내해 드립니다."
